Puzzle,Solution,
1..9..3..4...51.2..9......4.4...98..21.4.........8.2..6.15.8...92..3...5....12.9.,182947356476351928593826714745269831218473569369185247631598472927634185854712693,
........2.137..98..2....1...8..1....97....83.3.6...........3.7.49...8...2.7.4....,754891362613725984829634157582319746971462835346587291168253479495178623237946518,
....8...5......78..6.3....1.............2..39.9..5.1....51.6...3..8.......8.3.62.,174289365539461782862375941487913256651728439293654178725146893346892517918537624,
5...8.32..8.3.....2.....67....26........739.....9...5.9....78...3.65....7...1.5.6,594786321687321495213594678479265183825173964361948257956437812138652749742819536,
.5....7.....9.63...1......5.8...5....916..8.35.7.91..48631.....7...3.1.9.........,358412796472956381916783245684325917291674853537891624863149572745238169129567438,
.734...1.1...57...9.5....4..3.5.6......91..5.....43.....9.....7.2.6..5.3.1..7....,273469815146857239985132746834526971762918354591743628359284167427691583618375492,
....3825....1.5.4......7....4.....12.5.....7..1....3..8.2..356..3..5....6..7....1,167438259983125746524697183348579612259361478716284395872913564431856927695742831,
3..71.....6.4.2..5.4.........483..61.5.2..34..7.1.....6.........1.6....2.2.....8.,385719426761482935942356817294835761156297348873164259639528174418673592527941683,
...2...6....7...8.173.....26.4.3.2..7.1.......98....4.......6.....8.74..4.6..2.17,845293761962715384173684592654138279731429856298576143527941638319867425486352917,
.9.65...2..7.......6.1.7..5..896....7....4.194..5.8..........6..4.2...9.....16...,194653782537892146862147935328961574756324819419578623285739461641285397973416258,
6.........3....7.2....824..47.629....6...8...8....3..9.....43..3.....6..18.7.6...,628347591534961782719582436471629853963158247852473169296814375347295618185736924,
98.....517.6.1.82........7.19...648......4.....2.8........4.....5.9..6.....7.1...,984672351736519824215438976193256487678194235542387169361845792457923618829761543,
....71..9..24....1......675....13...........7.1..4..3.9.61.54.33.....5..4...6..9.,583671249762459381149238675297513864834926157615847932976185423328794516451362798,
..1....2.3.79....4.....1.........3..6.......7.724..5....4..6.137..2..4.5.2...36..,951374826367982154248651739495167382613825947872439561584796213736218495129543678,
.48.3..6...7...2.123.......5....6.28........4....481.782....47..7.5....3.........,948132765657489231231675849514796328782351694369248157825913476176524983493867512,
9.5...8...2......3.48..2.....3..4.597.....31....5.9.....48.3.....2.....55..7.....,965347821127685943348912576283174659759268314416539287674853192832491765591726438,
3.....49.25..4..8...........4...85..9...3...........4742.38.....7...5.....39....1,318762495257149386694853172741298563965437218832516947426381759179625834583974621,
..2.918...1.64...2.8...2.1.......2......16...3215....49..........3.....6..4...9..,432791865519648732687352419896437251745216398321589674968123547253974186174865923,
.6...........87......6.5...........4..8..92.354...26.7.7......28...9...5...723.48,365241879421987536789635421297356184618479253543812697974568312832194765156723948,
53...472...7.6.1.......2....4......3..1..7.8.2..3..6414.....5....2.....86...1....,536184729827569134194732856948651273361427985275398641419873562752946318683215497,
...........19....6.9.31....4.9..16.....64.5....37.91...52.3649.1...........45..7.,275864913341972856698315742429581637817643529563729184752136498184297365936458271,
....4.23...3..86.....1...7916........3.9...4...86.7.2...4......987......61.8.....,891746235573298614246153879169425387732981546458637921324519768987364152615872493,
..471...3..3..9..1...2...9....3...7.7...2..162.....5.4.1.4...3.....3...9.7.19.2..,924715863583649721167283495451368972798524316236971584819452637642837159375196248,
28.4..1.......3....95........9.6........2..34.1.....85..8..4.6.3..1.58...4.......,283479156164253798795816423439568217857921634612347985928734561376195842541682379,
..5......4...8...3..1..2.7.....1..........3.8.2....95.8...7453...7.93..1..28..4..,275136849496785123381942675953418762764529318128367954819274536547693281632851497,
...9..2..3.........7.....637.95...1..1...8..9.5...2......3.........7.6......6.571,564913287321687495978425163749536812216748359853192746687351924195274638432869571,
.5..91...2.....8..1.627...98.2....9.5..9...31.6..5...7...3...75...........3......,358691742297534816146278359832167594574982631961453287489326175725819463613745928,
......46235......84.2.......8...62.32....46...3.....9......5..9.25.918..6...3....,918573462357642918462189357584916273279354681136827594843765129725491836691238745,
.7612....1..3.....42.78.....692.....7.....6.9..1...4..8.....1.4....6.....32.....7,376125948198346752425789316569274831743851629281693475857932164914567283632418597,
.8.9.4.525...82..........9..2.7..4..19.64..2.75..2..68.1..7.9.6..........46......,381964752579182643462537891628715439193648527754329168215473986937856214846291375,
......95......38..2........93...2..8..69..42...78...3.6...........7.43.5.58.26...,761248953549613872283597146935472618816935427427861539674359281192784365358126794,
9....7..1.7..1....21..38...3.2......58..4..3.....9..8......1......2...73.37.8..15,958427361673519428214638759392865147581742936746193582825371694169254873437986215,
8.......4..........64718......6....1...8..52.9.21..6.7......1.52.19.6748....4.2..,897562314125493876364718952783625491416879523952134687649287135231956748578341269,
....4.....1..6.8.78.51...96.......59..7.........93....3..8.57.4..8..6..1.6..149..,679248513413569827825173496236487159987651342154932678391825764548796231762314985,
..3.1.6..41.6.7......82...17.......2...3...........7.4.8.4...5.24......86......3.,823914675419657823576823941758149362164372589932568714387491256245736198691285437,
.4..9.........2.8...2.....5..7....51..54...981...75....6...182.2.9.......5..8..64,846597132573142986912836475437928651625413798198675243364751829289364517751289364,
.......39..39.86.......12...1.8.65......3....4..152...92.4......4...9.1......5.6.,681527439273948651594361278312896547859734126467152893926413785745689312138275964,
....52...2.4...63..5.6..8.1.1.....56......9.....49.......2..1.96..9.8..2....4..8.,861352794274189635953674821419827356327561948586493217748235169635918472192746583,
18......24..5.3......7....4...6.7.....7.12..6.6..3.8...1.....2.2...5.....3..76...,185964372479523681623781954841697235357812496962435817716349528294158763538276149,
.128..5....4....1.5..9.6.8....3..65.....91.....6.25....6......313...2...4.9..8..1,912874536684253917573916284241387659857691342396425178765149823138762495429538761,
1..72.3...5.6......7..3...9...3.419...1.9..2.4.621.......9...3......7....62......,189725364253649817674831259528374196731596428496218573847952631315467982962183745,
..462...81....7.2..3.8..5..........46..1........2...7.2......8.......43...17.4.6.,954623718168457329732819546829376154673145892415298673246531987587962431391784265,
...2.76..6...431..2...68.3...5..4..1....3.56....8..3.78.6....4........23..4...7..,143297658689543172257168439395674281718932564462815397836721945971456823524389716,
.46......7........2.8....37.7....845...5.4.......786.3...4.....62...7......853.1.,146732958739185462258649137972361845863594721514278693381426579625917384497853216,
.257...933...52..47.849...1.....1.495.7.2..1.9........2...............8.....7..25,425718693319652874768493251682531749547926318931847562274185936153269487896374125,
.3.9...4......8.12...4..9.8.96........183....3...4..2..29...8.....5...36.6....2.9,638921547954678312712453968496215783271836495385749621129367854847592136563184279,
..9...27....9.2..1...4..5..5.....716........5.......3..4265.9.....23.....1.7.9..4,469315278857962341231478569594823716623147895178596432742651983986234157315789624,
.9..6...3.3......2..672..8.....9....6....1....253.6...3185........1....9.......35,792864513834915762156723984481297356673451298925386471318549627567132849249678135,
1......4...43...78......263..5..8..67.12.4..5.8.1.6...8........3.2..1.........78.,123687549654329178978415263235798416761234895489156327847562931392871654516943782,
..1.2.8....25....49...14.75.2...1....3.......15.7.2...7........8....5..3......148,541627839372589614986314275628491357437856921159732486793148562814265793265973148,
.2.......4...7.1.....56....6.......9.1.7.5.2..7..1...4.329..5.....3....1.9...76..,927831465465279138381564972653482719814795326279613854132946587746358291598127643,
9...5...14.7..952...1.8...93..7.5.........1..7.8........914..3.5.2.98....3....8..,923457681487619523651283479316725948295834167748961352879146235562398714134572896,
.....35...21.8......8.67.3.8...51..96.5.......13...............9..8.26.1....7682.,769423518321589476548167932872651349695234187413798265286315794937842651154976823,
....1.....7....16....253..74......92......4....3.9.7.1...5...4.....37...5..42.3.9,398716524275948163614253987461375892759182436823694751137569248942837615586421379,
94...5.37..8..94...3.6...5.4...3.5......87.9.5.............8.1.......9.5.1.7...8.,946815237258379461731642859467931528123587694589426173394258716872163945615794382,
57.....1314.83........7...4...5..8...5.6.2...4..1...3..23..8.5............5.....6,578264913149835267236971584961543872357682491482197635623418759794356128815729346,
38.....5..1....398..47.......295.7......7...47...1.52...8...1.......5....4..2....,386291457217546398594738612462953781851672934739814526928367145173485269645129873,
....963.5...7.46.2..1..3....4..51...........1..93...5.....6..7..3...5.2.5..4..9.6,472896315385714692691523847248651739753289461169347258924168573836975124517432986,
4......2...8..5.1...5.9.473.....1..49.1.....58....32...3985........47.3.1........,497316528328475619615298473253981764961724385874563291739852146586147932142639857,
.43..19.76.........8....1.4.....8....1..34..5.64.....1...6..74..9.745813.........,543281967621497538789356124375168492812934675964572381158623749296745813437819256,
.7.8...3...5..4.71.3.71.9.................1.5...48....5..9...243.....8.7..1.7....,176859432895234671234716958758193246943627185612485793587961324369542817421378569,
.59..6.7.8.3..54..4.6.......8..13...........3....4.....3...7.4.7..6.95..5...3..8.,159486372873295416426371895285713964914568723367942158631857249748629531592134687,
..3.9..4.....728....8...29.42...8.6..6.7...8.........7........9...34.62....2.953.,253891746694572813178463295427958361561734982839126457342685179915347628786219534,
.4.8...7......2...8...5...9..4..9..1..5.8......647.58..6.......21...7.4....9...67,541896372697312854832754619384569721175283496926471583769145238218637945453928167,
.4.5...39.....6.....3......4.5..9..7.....4...9..18..5.....685..6..91.3...913.58..,846571239529436718713892645435629187182754963967183452374268591658917324291345876,
4.....56..5.8.4.....1.....2..9..7.2..8.26.1..6....9..4...9...........94......5876,498721563256834719371596482139457628584263197627189354765948231813672945942315876,
.97.51..36..3.9...3.....17.......365...9..8.7..6....4...1.....49..8..7.....4.3...,497251683618379452325648179249187365153964827876532941581796234934825716762413598,
3.9.......5..2...6...7.8...62...3.85.....7...13.5............975.8....1..9....3..,379651824851924736246738951627493185985217643134586279413862597568379412792145368,
7.....6.....341......5..4.2465.3...7.1....9..3....2.6..7.........47.3....5.96...1,741298653526341798938576412465139287812657934397482165179825346684713529253964871,
..4..5...9..73........61.......2.5.7.51...2.......469...9.13.5...3..2......6...2.,714295863926738145835461972498326517651987234372154698249813756163572489587649321,
..973.2...2.....1....1..58.2......5.387........1..........823..9...6.....76.1....,159738264628495713743126589294873651387651492561249837415982376932567148876314925,
.6....5.4941.....6.......2..7.1..6........14..5......7...86..9.59.4.17..68..754.1,268397514941582376735614829379148652826759143154236987417863295593421768682975431,
6.2.7..8...5........3...9.256...43....7.6.2.4..........4.79.8........6.987...24..,692471583485239716713586942568124397137968254924357168346795821251843679879612435,
196....87.7.3.....3.4...5..9.38....576...184......57.3.4..........46...96....9...,196542387572386914384197526923874165765931842418625793249758631851463279637219458,
.8..5.......1......9.....64.46.25...92..1.......74.....68.....15.78..4........7.6,682954173374186295195273864746325918923618547851749632268497351537861429419532786,
24.9.5.8.9.17..5...8...6.2.4..........8....59...492.........7..7...896.4.....4..8,246935187931728546587146923479851362128367459653492871864213795712589634395674218,
......3...8..76......1..8.924....91.........4..3........64...7117.2.8.....9.3..8.,961582347384976152752143869248357916617829534593614728836495271175268493429731685,
5.8...7....1...2.5..6....8.86.9...5.9.753..6....2..9.7...69...1.5.3.......9.8....,538129746791846235426753189862917354917534862345268917283695471154372698679481523,
.5....6...783.....1...8...2...87....6...9.12..3..1.....1..29...9....6.31.........,359247618278361495146985372491872563687593124532614987813429756924756831765138249,
....3..4..8...56.7...2.8....2.8.4..5......1..3.5...2..4...26..1.......7..5.4..8.6,512637948983145627746298513129864735874352169365971284498726351631589472257413896,
3.5.1.94..1.2..3....9.4.....4..7...1...1..2..5...2...71......7.42.3......6..5....,375618942614297358289543716842976531796135284531824697153462879427389165968751423,
41..7..8..962..1..2....8..6......8.96..1.27.........2.......648...........98..37.,415679283896243157237518496721435869658192734943786521372951648584367912169824375,
715.3.9........8..62.7....11..........3.82....52...3.8...8........1.5.6..36......,715438926394216875628759431187394652463582719952671348241863597879145263536927184,
.....7.2.3...6..8..6.........4.1.7...1....3....53..4.65.7......1..2......43..857.,951837624372461985468952137834516792619724358725389416587143269196275843243698571,
73..9...412.7.53..........9..2...5.1.4...78.2.571.8.9..........4...3......59.....,738296154129745386564813729382469571941357862657128493893671245476532918215984637,
..6....9.7.......1.8....5..5.....8..1.9.5.76..7.4......12.....59.47..2..8..2.9.1.,236581497795624381481973526523167849149358762678492153312846975964715238857239614,
..52.7.86..7...........5...7.3.28.1....3.6...62..519.......31.8...6.2..7....9....,495217386387469251216835749743928615159346872628751934964573128531682497872194563,
..43.....9...8.....385.69.1...6...39.....7.5.....34..86..4.8.....7..........1.34.,164379285975281463238546971481652739326897154759134628613428597547963812892715346,
.89..21..1....7..42....6.........8..7..98.4.........7.5.......2..851..6.4.72...8.,689342157135897624274156398346725819752981436891463275513678942928514763467239581,
528..6....6.128............6...843..3..5..26..412...7....6..5.1...8.........17...,528936147764128953139475628652784319387591264941263875873642591416859732295317486,
...2.....2..6.47.9....3.81.....7.3283...9...4...........132...7....6.9....71.9.36,879251463213684759645937812194576328356892174728413695961328547432765981587149236,
9....7..5......9.2..5....1...71..463..2.6...9....5.......41.....1...962......6..7,931627845674581932285943716857192463142368579369754281726415398513879624498236157,
.........245...9....325...6.....517.....97.2.....1.....39..12...51...39.6.7.395..,716983452245176983983254716398625174164397825572418639839541267451762398627839541,
.1..4582.4.6.82......3.....6....8.1..3.25..4..5.........5496...19....5....2......,913645827476982351528371694649738215831259746257164938385496172194827563762513489,
.19.2...545.19.......5...17..3...849.21...7......3.5......18.....8.........945...,619827435457193682382564917763251849521489763894736521275618394948372156136945278,
.1.....6.....9...2695.....1..7.3....12.5....8..69...35...72.1.....81.5..........9,218457963734196852695382471957238614123564798486971235549723186362819547871645329,
.....9..3..6.8...459...6..1.......4...85..1...4.81.53...43.7............9...41..6,481729653326185794597436821152673948738594162649812537864357219213968475975241386,
...78.........1..97.1...46....31.9...7.6..........4.51..3..5.9.5...9.184........3,394786215856421739721539468485312976179658342632974851213845697567293184948167523,
2.........7.26...3.3....81.....2........58.3...31.47.81..8..5.......5.4..2.6.....,219583674874261953536479812781326495492758136653194728147832569368915247925647381,
2.8..5..99..1.....4.5..8.6.78................15...4.......924....7.469.5....8.2.7,218465379963127548475938162789213654346859721152674893531792486827346915694581237,
7..6.........8...148....9.....4.1.25..1.95..7..2.7......81.6.7....54...9.2.....1.,713659842296384751485712936879461325341295687562873194958126473137548269624937518,
...4.6.1.2...9.7..8.6..1.....7.6....1.423.6.......9............6.1...8.4..371....,739426518215398746846571392927865431154237689368149257592684173671953824483712965,
1.8..27.6.9.....14..7.5...........89814...6.....6..4.1...76.8.2.6.2...5.....1....,158942736296873514347156298675421389814397625923685471531769842469238157782514963,
.......9..8.4..6...1.6.58..............5.7.1...7..89...6.8..7....3.9...47....1.3.,576182493382479651914635872835914267649527318127368945461853729253796184798241536,
..1....9.324.....1..7...6.4.9...61...13..4..27.....4......4....2....7..9.45.932.6,861452793324679851957318624492536187513784962786921435679245318238167549145893276,
..1....8.3..........6....13....276..2...13.45...48....6.......71.7.4.......8.62..,741235986395168724826794513418527639279613845563489172682351497157942368934876251,
9.5....6..32......46....7..3.1.6.5......2......45.9....2.9.....5..37.6..7....4.3.,975143862132687945468295713391768524657421398284539176823916457549372681716854239,
4.8.76.32...8.......5.21..7.........32..1..467....81.5.6...2...1.....3........7.8,418576932972843651635921487581469273329715846746238195867392514154687329293154768,
....6.18..7...9....8.4..6.3.....1479..........3.......9.1.57.4.6............8..5.,594263187376819524182475693865321479219746835437598261921657348658934712743182956,
.....5..12.1...8.3.3....6.958...3.....92..38...2...9....8..1...1..5..2.7...9.65..,964835721271649853835712649587493162619257384342168975758321496196584237423976518,
.4......5.3.8.47.....57.....7........623...4.....62.....7...5.34.8.9..76..9.....8,746239185235814769981576324873941652162385947594762831617428593458193276329657418,
.3.7.5.....72....98............6...3.43..7.5...839..4.........578.......624..87..,936745128417283569852619374279564813143827956568391247391472685785136492624958731,
...8..57.8.1..74.3..35...........2.92.....3..795........4.8..9.....5.1......9...4,429813576851967423673524918346175289218649357795238641164382795987456132532791864,
....5....1..32..8...91....5.....2..3.8.9..51...3...82...571..6......3..1..789....,376458192154329687829176345591682473482937516763541829235714968948263751617895234,
.7..8...9.96..52.....1.....7...5.62..8..2...56...3..183......8.9.57........3.....,571283469896475231243196857739851624184627395652934718317542986925768143468319572,
..6....5.52......7..4..........8.31...5...2.4.....276.2..8.16.....7...3..51.46...,176298453529463187384175926762984315815637294493512768237851649648729531951346872,
.....412..6.1.......95.7.....649.85..5.8.14..............7....9.4.........5..268.,537964128264138795819527346126493857953871462478256913681745239342689571795312684,
4.6....9..........9..4....3.............8.7.6..9..654..8.1.4.3..7..9...8...6...14,416237895753819462928465173267541389541983726839726541682154937174392658395678214,
.5..2.6..2....3..4.7..6532.8..35.21...714....6....2....6....8........1..5....7...,453729681296813754178465329849356217327148596615972438964231875782594163531687942,
.7..5..9........1.6............6.2.5.....217...5.9......3.8....89.3...5..571....3,271654398549238716638917542914763285386542179725891634163485927892376451457129863,
...57.9.....1..2.71...28...2........4.......187......4.3..8..9.7....4......7.9.3.,342576918986143257157928643263415879495867321871392564534281796729634185618759432,
7.5..8...2..35....68.9.2.....2.8...6...63...9..67.435....4....2......6..3.4...7.5,745168923219357864683942517132589476457631289896724351968475132571293648324816795,
..928..7.......1..2..157...1.7.2...3......5...9..3.4......15......4..78..4...9..5,519283674378946152264157938157624893483791526692538417726815349935462781841379265,
...8.6.....69...4372..4....47.3....9..9...5.......8........2.8....53.67..6......4,934876152186925743725143896478351269219467538653298417347612985892534671561789324,
.......3.......854.....26...85..6.7.62..7....4.9.58.....4...968...4..3.7.6..2....,546981732912637854738542691185296473623174589479358216254713968891465327367829145,
.9.12.5.......3.9...86...1.7.3..18..1....8....627..9..3....9....1..5......6...3..,694127538271583496538694712743961825159248673862735941325879164417356289986412357,
.8.....141.5...3....31.5.8....28.....78....9....5......918..73...7..9..52..3...4.,982736514165948372743125689619283457578614293324597861491852736837469125256371948,
...64.3...5.7.8..9.3...5.6.54....8..2.6..473...3.6..9.....57......3.....7..489...,927641385651738249438925167549173826286594731173862594364257918895316472712489653,
.9........1.....86...4.6......82.3..3......9.1.6.3...5...5..4..4.5..8...2.3.9....,697182543514379286832456917759821364328645791146937825981563472475218639263794158,
.4.............5..7..5..21..8..7...2..7...49..9.1.5..3..32..7.8.24...3.1....8....,145728639239641587768593214386479152517832496492165873953216748824957361671384925,
.......1.3.8..........9..27..2.8516.9...63.........7...516....8......69..8..3...5,597326814328147956146598327732485169914763582865912743451679238273854691689231475,
1....49....79......5..82..6......76....6..5..4....91.27.........9....6.5....264..,123764958687953241954182376318245769279618534465379182746591823892437615531826497,
.....5.4.2.7.......6....3.2.5....6.99.....17...6.4..3..2...14.751.6.4...........3,398215746247936851165487392451723689932568174786149235829351467513674928674892513,
...4.......2..8......56...8.6....1...8.6.9...39..4...5.3.9....46...5....42.81.9.6,856421397742398561913567428264785139581639742397142685138976254679254813425813976,
..75..36..2........85............542.521...7.........3.6183.4.....2.1..8....74..6,497528361123496785685317294316789542852143679749652813961835427574261938238974156,
...6....55.4...3...8...14..3..5..1....74....68.1.2...4....65....18..2...73.......,179634285564287391283951467346598172927413856851726934492865713618372549735149628,
....6....95..31...78....9..8..2...7..1..7.....6.398.........61..25.8.3.7.38......,342869751956731482781452963893214576214675839567398124479523618125986347638147295,
6.....5...54.9.1..72...54.8.........8....4279....72........6......82..46.7.14....,698417532354298167721635498267981354813564279549372681482756913135829746976143825,
..2.3.67.........59........3...2..9.65.9.8.2..9.4...86.....63...7.5.9..2........4,412835679768194235935762148384627591657918423291453786549286317173549862826371954,
7.....5.61.6.974...9.......3..78..1...5..49..41..36..7............57..3..87......,738241596156397482294658371369785214875124963412936857623819745941572638587463129,
...15.......946.15.7........5..7.4...9.6..2.1.....2.6...7.1..4.......9..2....3...,964157823823946715175328694652871439498635271731492568587219346316784952249563187,
.3..549.7.7...9.......1..5...8..6.13....71..81....5.6.......8....5...3..6....3.75,231654987576289134894317652758926413963471528142835769317592846425768391689143275,
......78.6....9.4.4...3........5....34.......7...8..6.97...34...1...56.35.68.791.,253416789681729345497538126168954237345672891729381564972163458814295673536847912,
...........287..54.......865.14.2...7....62....4...9.5..5.8..72.....4......5..61.,487365129162879354359241786591432867738956241624718935915683472876124593243597618,
2.4519........8....5..4.9.3..5..21...2.1....4..8....2...........7.3.4.........879,234519768691738542857246913345862197729153684168497325582971436976384251413625879,
.3....7..9...8...5.....9.2.....75...4..3..........63.92..53.94.........8.7..485..,836254791921783465754619823392875614465391287187426359218537946543962178679148532,
.4...2.3.6.1...7...3.7..1........68...45.6..7.6....3...1..2.4..8..13..7....6.7...,748912536651483792932765148275341689384596217169278354517829463826134975493657821,
..2..17...1.5....973..........7....8.8.2..5....1..6......8...25..6..7.1..5..6....,892431756614578239735629481263795148987214563541386972179843625326957814458162397,
...3.6....98.426..7.....2...7.4.59...8...3..2..4.6..3.....9....94....8.7.35......,421376589598142673763958241372485916689713452154269738217894365946531827835627194,
..79.6.8.2..45...34...326..........8..9.7.3.265...397..6....7.......5.........42.,537916284286457193491832657723169548149578362658243971862394715914725836375681429,
8.9..37...3.....5....4.81...53..9......61..7.................16....648....78..3.9,829153764134276958675498132253749681948615273716382495482937516391564827567821349,
.2..6.8..7..1.9..6...2...4.4.2.....1.........179.....2.......9.8.4..16..91...4.3.,523467819748139256691258743452376981386912475179845362265783194834591627917624538,
38......7.........2.6...95......7.....8.9....73.....81.6.7....89.52.3.7.....6129.,384915627597642813216378954421837569658194732739526481162759348945283176873461295,
...3..5.6........7.3..9.48.5...23.......8..........26.7.4..9..8....72.9.39..68.5.,978341526142856937635297481517623849263984175489715263724539618856172394391468752,
....4...7..2..1....93.8..5......84..31...9..84..75..2.......8..2..3.....5...72...,856943217742561389193287654627138495315429768489756123974615832268394571531872946,
2.845...1.61............4...2.....8.3.5...67.6...4.2.....7.63..1.........53..1...,238459761461327598579168432924675183385912674617843259842796315196534827753281946,
....584.....6......3.7.42.64...2...5.....3..7......16.2.....514..1.4...3....72...,716258439524639871839714256467921385182563947953487162278396514691845723345172698,
..6..3....2..4....3.9.....56....29...1.6.9.57....5.21.24......9..7...5.4......16.,456983721721546398389721645675412983812639457934857216243165879167298534598374162,
....83...1.6.......53....1.3...1...2....54..364...8....64.2...15.........8753..4.,479183256126475398853962714395716482718254963642398175964827531531649827287531649,
...96......1.......6...758....3.9.62...2..35..8.............1....762..3.1.....2.9,735968421841532697962147583514389762679214358283756914328495176497621835156873249,
....9.5..........14......2.1.9.3...7....2..1.83.54......1..8...54...39...9......3,283197564975462831416385729129836457654729318837541692361978245548213976792654183,
......4..4.5.7831.1.6.....8.6.24...57......4..3....8...1...5..2..8..1..4.......6.,389126457425978316176534298861243975752819643934657821613495782298761534547382169,
.87..5.39.2.....7.......5.176....31....1.379..3.6....28.2.......1.......59.2.1.6.,687415239125389674349726581764892315258143796931657842872964153416538927593271468,
7.16...4.....5......2..9.......61..5.987.2...6.....7..2.....9...4.....8..89....17,751638249964257138832419576427361895598742361613895724276184953145973682389526417,
97......63.68...1........2.6..2.318..9..1.....2.5..97...1.............95....62...,972135846346829517815674329657293184493718652128546973231957468764381295589462731,
.4..2......7.6.3..9......5...46..9.......4.3753897.62.7........2......9..56...2..,345129768827465319961783452174632985692854137538971624789216543213547896456398271,
.....1...1..45...37..3....2....9.3..4..2......927...1......2.9..4.1.....63...5...,953821746126457983784369152861594327475213869392786514517632498249178635638945271,
...967.......3.45.....8.....85...9.7.....9.4.3...7.1......51..8.9........6.4..7.1,254967813678132459913584672185346927726819345349275186437651298891723564562498731,
...6...29..8..2...1...7..6.42..1......1.46..5.7.5.82.4.......566....41........9..,547681329368952471192473568425719683831246795976538214214397856659824137783165942,
...8...72...7..95.2....91..5.341.....4..7..2..7.......3.......5.8..3..9.15..9.2..,915864372438721956267359148523416789841975623679283514392147865786532491154698237,
9..36.8...1..294.64..8.19.......2.......3...7.43.8......827.......146.8........6.,972364815815729436436851972697412358281935647543687129168273594759146283324598761,
.7.51...8..9......5...8.742.....9...7..8....5...2.....2.1754.9..3.....2........84,674512938829347651513986742158469273792831465346275819281754396435698127967123584,
..8.3...5.7....3..4....79.....489.......532..19............5.7.73.2.....2.9...13.,918634725572918346463527918327489561684153297195762483841395672736241859259876134,
.......25..678..1.5....1..6...52..8....1..25.........4.7..12..3.583...6.1..4.....,781964325326785419594231876947523681863149257215678934679812543458397162132456798,
..9.......68.4...97..........4.9.....974...6861..5.....4.17..95..2....87...2....4,429615873368742519751938426284396751597421368613857942846173295932564187175289634,
8..6713...1943........82..4.3...8.2...8....6.19....4.3762.....1.........4.1.2...6,824671395619435278375982614536748129248319567197256483762593841983164752451827936,
...1..267.2......3..1.375..7....5..6...3.........7..2..4..68.7.58.........6....84,395184267427659813861237549732815496614392758958476321243968175589741632176523984,
.3....2.........366......8.9..5.16...7...61....53.8.7.5......2....8....9....2.367,438657291257189436619432785982571643374296158165348972596713824723864519841925367,
.2....8..1...3......76..........23.5..8........65.4...5..8..2...3..4...6.74....8.,623419857195738642487625931749182365258367419316594728561873294832941576974256183,
26...8.138..3......137..9......4..8.6...7..2....2....6.72.34....89.2.......9.1...,267498513894315762513762948925146387631879425748253196172634859489527631356981274,
5..61.....6.4.251.2....9.7..........1...4....426......6195.......7.....2....71..8,594617823768432519231859476973186245185243967426795381619528734857364192342971658,
.4.1.27.9.1.9....57...45......42..9......8.....15......94.8.....2.....4.58.69..21,845132769213976485769845213658423197932718654471569832394281576126357948587694321,
.671..9.....62.4.7.2....1.......9...97683.....8...1.....3.........2...1..1..76.39,567184923139625487824397156241759368976832541385461792653918274798243615412576839,
9....8.7..58..19......6..54.917.....2.58...47.7..526......9.........5..8......1..,946538271758421963132967854391746582265819347874352619583194726619275438427683195,
.8.7....5.....541..3.2.468.56.......2.8.7.....7..4.8....6...7..3.4.......1..8.2..,482761395697835412135294687563128974248679531971543826856312749324957168719486253,
